iter	RMSE
0	0.3913461835
1	0.3801951708
2	0.3693639929
3	0.3593884428
4	0.3502403298
5	0.3416521845
6	0.3338345431
7	0.3252485127
8	0.3168602304
9	0.3098256754
10	0.3021722361
11	0.2948540464
12	0.2879347763
13	0.2819069611
14	0.2764536436
15	0.2700614734
16	0.2639890825
17	0.2580595943
18	0.2531324965
19	0.2482335217
20	0.243185883
21	0.2387708909
22	0.2342727065
23	0.2295583706
24	0.2253996717
25	0.2213682024
26	0.2176584649
27	0.2137893209
28	0.2099272517
29	0.206402549
30	0.2031635361
31	0.1997705521
32	0.196657951
33	0.193619408
34	0.1909954801
35	0.1882958078
36	0.1859501248
37	0.183205862
38	0.1805778317
39	0.1782100528
40	0.1761422158
41	0.1739678453
42	0.1717074898
43	0.1697466933
44	0.1678689817
45	0.1660849995
46	0.1645747084
47	0.1629547701
48	0.1612902747
49	0.1597215252
50	0.1585045622
51	0.1571308831
52	0.1558553753
53	0.1544490428
54	0.1530776531
55	0.1517248357
56	0.1505174046
57	0.1493954684
58	0.1479446617
59	0.1468784351
60	0.1459761995
61	0.1449594327
62	0.1440695252
63	0.1430287438
64	0.1419564742
65	0.141069569
66	0.1402043463
67	0.1394138035
68	0.1386183156
69	0.1378302625
70	0.1370609297
71	0.1363976496
72	0.1357441355
73	0.135141182
74	0.1344890452
75	0.1337643267
76	0.1329376784
77	0.1324125698
78	0.131844947
79	0.1312533583
80	0.130762399
81	0.1301446793
82	0.1296059151
83	0.1289273818
84	0.128375692
85	0.1279585885
86	0.1275627058
87	0.1271574772
88	0.1266418306
89	0.1261059864
90	0.1257540752
91	0.1253503112
92	0.1248610232
93	0.1244773471
94	0.1241469088
95	0.1237376236
96	0.1233525254
97	0.1229596015
98	0.1226589959
99	0.122386462
100	0.1219952142
101	0.1217131398
102	0.1213922361
103	0.1211826207
104	0.1209002815
105	0.1206566852
106	0.1203026754
107	0.1199839372
108	0.1196700713
109	0.119411182
110	0.1190526328
111	0.1188271756
112	0.118606163
113	0.1183732299
114	0.1181570007
115	0.1179268721
116	0.1177103273
117	0.1175133634
118	0.117254897
119	0.1170081755
120	0.1168043596
121	0.116615211
122	0.1163783383
123	0.1161457746
124	0.1158966475
125	0.1156650124
126	0.1154775996
127	0.1152968925
128	0.1150390584
129	0.1147371534
130	0.1145639727
131	0.1143435142
132	0.1142248068
133	0.1139745557
134	0.1137632357
135	0.1135034479
136	0.1133076896
137	0.1132143337
138	0.1129950123
139	0.1128236947
140	0.1126958544
141	0.1125876734
142	0.1124127179
143	0.1122341605
144	0.1121026662
145	0.1119043287
146	0.1116524294
147	0.111479116
148	0.1112472338
149	0.1110855296
150	0.1109350966
151	0.110814594
152	0.1106334197
153	0.1104885748
154	0.1103788193
155	0.1101933876
156	0.110055169
